what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unhandled event loop exception",1337273193097
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273193483
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273193483
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273193484
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273193486
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273193486
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273193487
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273193488
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273193489
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273193490
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273193493
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273193494
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273193494
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273193496
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273193496
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273193497
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273193498
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273193499
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273193500
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273193501
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273193503
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273193503
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273193505
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273193505
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273193506
error,log,,,"Unhandled event loop exception",1337273193553
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273194682
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273194684
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273194686
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273194690
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273194693
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273194695
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273194698
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273194700
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273194702
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273194707
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273194710
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273194712
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273194716
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273194720
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273194722
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273194725
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273194727
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273194729
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273194736
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273194737
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273194742
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273194745
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273194748
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273194749
error,log,,,"Unhandled event loop exception",1337273194795
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273195228
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273195228
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273195229
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273195232
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273195233
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273195234
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273195235
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273195236
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273195236
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273195240
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273195241
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273195241
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273195243
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273195243
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273195244
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273195246
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273195246
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273195248
