what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1337273183722
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1337273183731
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1337273183732
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1337273183732
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1337273183733
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1337273183734
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1337273183735
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1337273183741
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1337273183742
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1337273183742
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1337273183743
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1337273183746
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1337273183749
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1337273183750
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1337273183757
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1337273183758
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1337273183758
error,log,,,"Error notifying registry change listener.",1337273183773
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1337273183803
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1337273183804
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273183844
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273183844
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273183845
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273183847
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273183849
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273183850
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273183852
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273183853
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273183858
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273183859
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273183860
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273183861
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273183862
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273183863
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273183865
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273183869
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273183869
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273183870
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1337273183871
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1337273183873
